time,P,G(i),H_sun,T2m,WS10m,Int
20050105:0611,0.0,0.0,0.0,4.22,5.93,0.0
20050105:0711,0.0,0.0,0.0,4.12,6.07,0.0
20050105:0811,32.6,12.3,5.33,4.17,5.93,0.0
20050105:0911,133.0,27.43,10.04,4.38,5.79,0.0
20050105:1011,132.8,27.43,12.87,4.71,6.0,0.0
20050105:1111,67.1,17.97,13.58,4.96,6.9,0.0
20050105:1211,55.0,16.08,12.11,5.08,5.93,0.0
20050105:1311,49.1,15.14,8.59,5.1,5.79,0.0
20050105:1411,248.2,42.89,3.3,4.62,5.31,0.0
20050105:1511,0.0,0.0,0.0,4.19,5.17,0.0
20050105:1611,0.0,0.0,0.0,3.82,5.03,0.0
20050105:1711,0.0,0.0,0.0,3.62,4.97,0.0
20050105:1811,0.0,0.0,0.0,3.52,4.69,0.0
20050105:1911,0.0,0.0,0.0,3.08,3.93,0.0
20050105:2011,0.0,0.0,0.0,2.77,3.52,0.0
20050105:2111,0.0,0.0,0.0,2.69,3.45,0.0
20050105:2211,0.0,0.0,0.0,2.48,3.31,0.0
20050105:2311,0.0,0.0,0.0,2.47,3.38,0.0
20050106:0011,0.0,0.0,0.0,2.38,3.52,0.0
20050106:0111,0.0,0.0,0.0,2.36,3.59,0.0
20050106:0211,0.0,0.0,0.0,2.27,3.45,0.0
20050106:0311,0.0,0.0,0.0,2.08,3.59,0.0
20050106:0411,0.0,0.0,0.0,2.0,3.86,0.0
20050106:0511,0.0,0.0,0.0,1.73,4.14,0.0
20050106:0611,0.0,0.0,0.0,1.42,4.21,0.0
20050106:0711,0.0,0.0,0.0,2.31,4.69,0.0
20050106:0811,38.5,13.24,5.39,2.42,4.97,0.0
20050106:0911,306.8,49.31,10.12,2.57,4.83,0.0
20050106:1011,67.7,17.97,12.97,3.39,5.24,0.0
20050106:1111,67.2,17.97,13.7,4.84,6.34,0.0
20050106:1211,132.4,27.43,12.24,5.25,6.97,0.0
20050106:1311,43.4,14.19,8.73,5.07,6.48,0.0
20050106:1411,331.4,53.3,3.44,4.69,6.07,0.0
20050106:1511,0.0,0.0,0.0,4.15,6.07,0.0
20050106:1611,0.0,0.0,0.0,3.92,5.86,0.0
20050106:1711,0.0,0.0,0.0,3.75,5.52,0.0
20050106:1811,0.0,0.0,0.0,3.5,5.24,0.0
20050106:1911,0.0,0.0,0.0,3.36,5.1,0.0
20050106:2011,0.0,0.0,0.0,3.22,5.1,0.0
20050106:2111,0.0,0.0,0.0,3.27,5.17,0.0
20050106:2211,0.0,0.0,0.0,3.09,5.03,0.0
20050106:2311,0.0,0.0,0.0,3.15,5.31,0.0
20050107:0011,0.0,0.0,0.0,3.24,5.52,0.0
20050107:0111,0.0,0.0,0.0,3.48,5.66,0.0
20050107:0211,0.0,0.0,0.0,3.68,6.07,0.0
20050107:0311,0.0,0.0,0.0,4.01,6.21,0.0
20050107:0411,0.0,0.0,0.0,4.47,6.14,0.0
20050107:0511,0.0,0.0,0.0,4.99,6.14,0.0
20050107:0611,0.0,0.0,0.0,5.36,6.14,0.0
20050107:0711,0.0,0.0,0.0,5.66,6.34,0.0
20050107:0811,8.0,7.57,5.47,5.98,6.41,0.0
20050107:0911,66.6,17.97,10.21,6.35,6.55,0.0
20050107:1011,72.6,18.92,13.08,6.7,6.76,0.0
20050107:1111,165.8,32.16,13.82,7.1,6.83,0.0
20050107:1211,144.6,29.33,12.38,7.41,6.83,0.0
20050107:1311,72.1,18.92,8.88,7.75,6.76,0.0
20050107:1411,0.3,5.68,3.6,8.1,6.97,0.0
20050107:1511,0.0,0.0,0.0,8.28,7.24,0.0
20050107:1611,0.0,0.0,0.0,8.4,7.24,0.0
20050107:1711,0.0,0.0,0.0,8.48,7.03,0.0
20050107:1811,0.0,0.0,0.0,8.62,7.1,0.0
20050107:1911,0.0,0.0,0.0,9.47,7.03,0.0
20050107:2011,0.0,0.0,0.0,9.52,7.03,0.0
20050107:2111,0.0,0.0,0.0,9.53,7.03,0.0
20050107:2211,0.0,0.0,0.0,9.6,6.9,0.0
20050107:2311,0.0,0.0,0.0,9.77,6.83,0.0
20050108:0011,0.0,0.0,0.0,9.73,6.69,0.0
20050108:0111,0.0,0.0,0.0,9.2,6.55,0.0
20050108:0211,0.0,0.0,0.0,8.97,6.34,0.0
20050108:0311,0.0,0.0,0.0,8.46,6.14,0.0
