time,P,G(i),H_sun,T2m,WS10m,Int
20090101:0011,0.0,0.0,0.0,-5.96,1.93,0.0
20090101:0111,0.0,0.0,0.0,-5.68,1.86,0.0
20090101:0211,0.0,0.0,0.0,-5.3,1.86,0.0
20090101:0311,0.0,0.0,0.0,-4.73,1.93,0.0
20090101:0411,0.0,0.0,0.0,-3.85,1.93,0.0
20090101:0511,0.0,0.0,0.0,-3.18,2.14,0.0
20090101:0611,0.0,0.0,0.0,-2.59,2.34,0.0
20090101:0711,0.0,0.0,0.0,-2.14,2.34,0.0
20090101:0811,153.1,29.53,5.13,-1.97,2.28,0.0
20090101:0911,256.2,42.57,9.77,-1.5,2.21,0.0
20090101:1011,310.2,49.19,12.53,-1.03,2.0,0.0
20090101:1111,254.8,42.57,13.18,-0.35,2.21,0.0
20090101:1211,164.7,31.22,11.65,-0.08,2.14,0.0
20090101:1311,268.8,44.29,8.09,0.01,2.34,0.0
20090101:1411,0.0,4.73,2.77,-0.16,2.28,0.0
20090101:1511,0.0,0.0,0.0,-0.79,2.28,0.0
20090101:1611,0.0,0.0,0.0,-1.34,2.28,0.0
20090101:1711,0.0,0.0,0.0,-2.05,2.21,0.0
20090101:1811,0.0,0.0,0.0,-2.66,2.07,0.0
20090101:1911,0.0,0.0,0.0,-2.89,1.86,0.0
20090101:2011,0.0,0.0,0.0,-3.56,1.79,0.0
20090101:2111,0.0,0.0,0.0,-3.82,1.59,0.0
20090101:2211,0.0,0.0,0.0,-4.09,1.45,0.0
20090101:2311,0.0,0.0,0.0,-4.11,1.31,0.0
20090102:0011,0.0,0.0,0.0,-4.21,1.24,0.0
20090102:0111,0.0,0.0,0.0,-4.75,1.31,0.0
20090102:0211,0.0,0.0,0.0,-5.04,1.52,0.0
20090102:0311,0.0,0.0,0.0,-5.32,1.66,0.0
20090102:0411,0.0,0.0,0.0,-4.73,1.59,0.0
20090102:0511,0.0,0.0,0.0,-4.74,1.79,0.0
20090102:0611,0.0,0.0,0.0,-4.63,1.86,0.0
20090102:0711,0.0,0.0,0.0,-4.88,2.0,0.0
20090102:0811,0.0,0.0,0.0,-4.92,1.86,0.0
20090102:0911,0.0,0.0,0.0,-3.84,1.72,0.0
20090102:1011,5251.6,591.89,12.61,-2.49,1.93,0.0
20090102:1111,0.0,0.0,0.0,-1.68,2.28,0.0
20090102:1211,4580.1,515.05,11.76,-1.35,2.62,0.0
20090102:1311,0.0,0.0,0.0,-1.52,3.24,0.0
20090102:1411,95.3,21.89,2.89,-2.23,3.17,0.0
20090102:1511,0.0,0.0,0.0,-3.18,2.97,0.0
20090102:1611,0.0,0.0,0.0,-3.9,2.76,0.0
20090102:1711,0.0,0.0,0.0,-4.26,2.76,0.0
20090102:1811,0.0,0.0,0.0,-4.59,2.76,0.0
20090102:1911,0.0,0.0,0.0,-4.15,2.76,0.0
20090102:2011,0.0,0.0,0.0,-4.2,2.9,0.0
20090102:2111,0.0,0.0,0.0,-4.24,2.97,0.0
20090102:2211,0.0,0.0,0.0,-4.25,2.97,0.0
20090102:2311,0.0,0.0,0.0,-4.4,3.03,0.0
20090103:0011,0.0,0.0,0.0,-4.36,3.1,0.0
20090103:0111,0.0,0.0,0.0,-4.48,3.24,0.0
20090103:0211,0.0,0.0,0.0,-4.36,3.52,0.0
20090103:0311,0.0,0.0,0.0,-4.34,3.93,0.0
20090103:0411,0.0,0.0,0.0,-4.55,4.21,0.0
20090103:0511,0.0,0.0,0.0,-4.8,4.55,0.0
20090103:0611,0.0,0.0,0.0,-5.0,4.83,0.0
20090103:0711,0.0,0.0,0.0,-5.06,5.17,0.0
20090103:0811,84.1,19.87,5.21,-4.61,5.59,0.0
20090103:0911,0.0,0.0,0.0,-3.89,4.55,0.0
20090103:1011,306.2,48.24,12.69,-3.24,4.9,0.0
20090103:1111,0.0,0.0,0.0,-2.6,5.17,0.0
20090103:1211,393.1,58.65,11.87,-2.15,5.17,0.0
20090103:1311,0.0,0.0,0.0,-1.85,5.1,0.0
20090103:1411,0.0,2.84,3.02,-1.55,6.62,0.0
20090103:1511,0.0,0.0,0.0,-1.51,6.48,0.0
20090103:1611,0.0,0.0,0.0,-1.42,6.69,0.0
20090103:1711,0.0,0.0,0.0,-1.25,7.17,0.0
20090103:1811,0.0,0.0,0.0,-1.19,7.24,0.0
