time,P,G(i),H_sun,T2m,WS10m,Int
20070107:1411,12.5,8.51,3.6,4.96,3.59,0.0
20070107:1511,0.0,0.0,0.0,4.43,3.1,0.0
20070107:1611,0.0,0.0,0.0,4.01,3.24,0.0
20070107:1711,0.0,0.0,0.0,3.6,3.59,0.0
20070107:1811,0.0,0.0,0.0,3.26,3.93,0.0
20070107:1911,0.0,0.0,0.0,3.05,4.21,0.0
20070107:2011,0.0,0.0,0.0,3.39,4.21,0.0
20070107:2111,0.0,0.0,0.0,3.75,4.41,0.0
20070107:2211,0.0,0.0,0.0,4.46,4.62,0.0
20070107:2311,0.0,0.0,0.0,4.94,4.62,0.0
20070108:0011,0.0,0.0,0.0,5.23,4.48,0.0
20070108:0111,0.0,0.0,0.0,5.45,4.28,0.0
20070108:0211,0.0,0.0,0.0,5.56,4.07,0.0
20070108:0311,0.0,0.0,0.0,5.44,4.14,0.0
20070108:0411,0.0,0.0,0.0,5.27,4.14,0.0
20070108:0511,0.0,0.0,0.0,5.07,4.07,0.0
20070108:0611,0.0,0.0,0.0,4.77,4.21,0.0
20070108:0711,0.0,0.0,0.0,4.18,4.55,0.0
20070108:0811,240.5,41.47,5.55,3.83,4.69,0.0
20070108:0911,382.8,58.8,10.31,4.2,4.9,0.0
20070108:1011,2125.2,250.58,13.2,4.65,4.76,0.0
20070108:1111,5364.7,614.04,13.96,4.98,4.55,0.0
20070108:1211,4463.9,511.79,12.53,5.45,4.62,0.0
20070108:1311,2307.6,272.74,9.03,5.96,5.66,0.0
20070108:1411,113.1,25.01,3.76,6.5,5.31,0.0
20070108:1511,0.0,0.0,0.0,6.81,5.17,0.0
20070108:1611,0.0,0.0,0.0,6.88,4.97,0.0
20070108:1711,0.0,0.0,0.0,6.94,4.76,0.0
20070108:1811,0.0,0.0,0.0,6.93,4.76,0.0
20070108:1911,0.0,0.0,0.0,7.04,4.76,0.0
20070108:2011,0.0,0.0,0.0,6.96,4.21,0.0
20070108:2111,0.0,0.0,0.0,6.59,3.79,0.0
20070108:2211,0.0,0.0,0.0,6.2,3.45,0.0
20070108:2311,0.0,0.0,0.0,5.69,3.31,0.0
20070109:0011,0.0,0.0,0.0,5.38,3.38,0.0
20070109:0111,0.0,0.0,0.0,5.17,3.45,0.0
20070109:0211,0.0,0.0,0.0,5.18,3.79,0.0
20070109:0311,0.0,0.0,0.0,5.17,4.0,0.0
20070109:0411,0.0,0.0,0.0,5.09,4.34,0.0
20070109:0511,0.0,0.0,0.0,5.43,4.83,0.0
20070109:0611,0.0,0.0,0.0,5.91,4.97,0.0
20070109:0711,0.0,0.0,0.0,6.6,4.76,0.0
20070109:0811,0.3,5.68,5.64,6.99,4.9,0.0
20070109:0911,690.2,95.28,10.42,7.54,5.03,0.0
20070109:1011,103.6,23.65,13.32,8.24,5.24,0.0
20070109:1111,171.2,33.11,14.1,8.86,5.72,0.0
20070109:1211,177.8,34.06,12.68,9.4,6.14,0.0
20070109:1311,320.3,52.42,9.19,10.03,6.21,0.0
20070109:1411,0.0,3.78,3.92,10.42,6.28,0.0
20070109:1511,0.0,0.0,0.0,10.47,6.21,0.0
20070109:1611,0.0,0.0,0.0,10.41,6.21,0.0
20070109:1711,0.0,0.0,0.0,10.32,6.34,0.0
20070109:1811,0.0,0.0,0.0,10.22,6.41,0.0
20070109:1911,0.0,0.0,0.0,10.93,6.21,0.0
20070109:2011,0.0,0.0,0.0,10.92,6.14,0.0
20070109:2111,0.0,0.0,0.0,10.92,6.14,0.0
20070109:2211,0.0,0.0,0.0,11.02,6.21,0.0
20070109:2311,0.0,0.0,0.0,11.17,6.34,0.0
20070110:0011,0.0,0.0,0.0,11.3,6.48,0.0
20070110:0111,0.0,0.0,0.0,11.25,6.34,0.0
20070110:0211,0.0,0.0,0.0,10.77,6.21,0.0
20070110:0311,0.0,0.0,0.0,10.48,6.34,0.0
20070110:0411,0.0,0.0,0.0,10.63,6.41,0.0
20070110:0511,0.0,0.0,0.0,10.75,6.28,0.0
20070110:0611,0.0,0.0,0.0,10.48,6.14,0.0
20070110:0711,0.0,0.0,0.0,10.77,6.0,0.0
20070110:0811,168.2,32.97,5.73,10.83,5.93,0.0
20070110:0911,128.3,27.43,10.53,10.95,6.14,0.0
20070110:1011,1332.5,168.99,13.45,11.04,6.34,0.0
20070110:1111,375.8,59.6,14.25,11.19,6.41,0.0
20070110:1211,1186.0,152.78,12.84,11.27,6.34,0.0
20070110:1311,255.2,44.46,9.36,11.21,6.21,0.0
20070110:1411,223.2,40.67,4.09,11.0,6.0,0.0
20070110:1511,0.0,0.0,0.0,10.84,6.0,0.0
20070110:1611,0.0,0.0,0.0,10.8,6.14,0.0
20070110:1711,0.0,0.0,0.0,10.61,6.21,0.0
20070110:1811,0.0,0.0,0.0,10.01,6.28,0.0
20070110:1911,0.0,0.0,0.0,10.4,7.1,0.0
20070110:2011,0.0,0.0,0.0,10.21,7.24,0.0
20070110:2111,0.0,0.0,0.0,10.08,7.59,0.0
20070110:2211,0.0,0.0,0.0,9.51,7.86,0.0
20070110:2311,0.0,0.0,0.0,8.72,8.41,0.0
20070111:0011,0.0,0.0,0.0,7.18,8.41,0.0
20070111:0111,0.0,0.0,0.0,5.81,8.07,0.0
20070111:0211,0.0,0.0,0.0,5.15,7.86,0.0
20070111:0311,0.0,0.0,0.0,4.89,8.07,0.0
20070111:0411,0.0,0.0,0.0,4.84,8.14,0.0
20070111:0511,0.0,0.0,0.0,4.85,7.72,0.0
20070111:0611,0.0,0.0,0.0,4.6,7.66,0.0
20070111:0711,0.0,0.0,0.0,4.86,7.24,0.0
20070111:0811,180.2,33.83,5.83,4.94,6.83,0.0
20070111:0911,189.1,35.0,10.65,5.13,6.97,0.0
20070111:1011,521.3,75.27,13.59,5.11,6.76,0.0
20070111:1111,451.5,67.16,14.4,4.95,6.41,0.0
20070111:1211,0.0,0.0,0.0,5.14,6.48,0.0
20070111:1311,312.0,50.36,9.53,4.86,6.97,0.0
20070111:1411,302.5,49.51,4.27,3.68,7.17,0.0
20070111:1511,0.0,0.0,0.0,2.18,6.9,0.0
20070111:1611,0.0,0.0,0.0,1.81,7.17,0.0
20070111:1711,0.0,0.0,0.0,1.69,7.31,0.0
20070111:1811,0.0,0.0,0.0,2.05,7.17,0.0
20070111:1911,0.0,0.0,0.0,3.64,7.45,0.0
20070111:2011,0.0,0.0,0.0,5.04,7.86,0.0
20070111:2111,0.0,0.0,0.0,5.57,8.48,0.0
20070111:2211,0.0,0.0,0.0,5.6,7.66,0.0
20070111:2311,0.0,0.0,0.0,5.57,7.59,0.0
20070112:0011,0.0,0.0,0.0,5.69,7.59,0.0
20070112:0111,0.0,0.0,0.0,5.75,8.21,0.0
20070112:0211,0.0,0.0,0.0,5.66,8.28,0.0
20070112:0311,0.0,0.0,0.0,5.72,8.41,0.0
20070112:0411,0.0,0.0,0.0,5.79,9.52,0.0
20070112:0511,0.0,0.0,0.0,5.83,9.79,0.0
20070112:0611,0.0,0.0,0.0,5.91,10.41,0.0
20070112:0711,0.0,0.0,0.0,5.48,10.48,0.0
20070112:0811,421.0,63.69,5.94,5.33,10.48,0.0
20070112:0911,460.6,68.17,10.78,5.51,9.52,0.0
20070112:1011,225.0,39.73,13.74,5.95,9.03,0.0
20070112:1111,166.3,32.16,14.56,6.56,9.03,0.0
20070112:1211,104.5,23.65,13.18,6.89,8.9,0.0
20070112:1311,1433.9,177.11,9.71,6.84,8.55,0.0
20070112:1411,1237.8,159.31,4.45,6.58,7.66,0.0
20070112:1511,0.0,0.0,0.0,6.17,6.55,0.0
20070112:1611,0.0,0.0,0.0,5.81,5.86,0.0
20070112:1711,0.0,0.0,0.0,5.74,5.79,0.0
20070112:1811,0.0,0.0,0.0,5.63,5.72,0.0
20070112:1911,0.0,0.0,0.0,5.5,6.41,0.0
20070112:2011,0.0,0.0,0.0,4.84,7.17,0.0
20070112:2111,0.0,0.0,0.0,4.88,7.66,0.0
20070112:2211,0.0,0.0,0.0,5.46,8.0,0.0
20070112:2311,0.0,0.0,0.0,6.51,8.21,0.0
20070113:0011,0.0,0.0,0.0,7.61,8.48,0.0
20070113:0111,0.0,0.0,0.0,8.44,8.97,0.0
20070113:0211,0.0,0.0,0.0,8.92,9.1,0.0
20070113:0311,0.0,0.0,0.0,9.42,9.79,0.0
20070113:0411,0.0,0.0,0.0,9.43,10.14,0.0
20070113:0511,0.0,0.0,0.0,9.2,9.72,0.0
20070113:0611,0.0,0.0,0.0,8.99,9.59,0.0
20070113:0711,0.0,0.0,0.0,9.04,9.66,0.0
20070113:0811,182.1,34.58,6.06,8.96,9.59,0.0
20070113:0911,273.3,46.35,10.91,9.02,9.45,0.0
20070113:1011,129.7,27.43,13.89,9.14,9.17,0.0
20070113:1111,427.1,65.27,14.73,9.04,8.62,0.0
20070113:1211,1366.2,171.07,13.36,9.05,8.07,0.0
20070113:1311,312.2,51.19,9.9,9.04,8.0,0.0
20070113:1411,12.1,8.51,4.64,8.84,7.45,0.0
20070113:1511,0.0,0.0,0.0,8.48,6.76,0.0
20070113:1611,0.0,0.0,0.0,8.11,6.07,0.0
20070113:1711,0.0,0.0,0.0,7.69,5.38,0.0
20070113:1811,0.0,0.0,0.0,7.25,4.69,0.0
20070113:1911,0.0,0.0,0.0,7.26,4.14,0.0
20070113:2011,0.0,0.0,0.0,6.93,3.66,0.0
20070113:2111,0.0,0.0,0.0,6.33,3.38,0.0
20070113:2211,0.0,0.0,0.0,6.19,3.59,0.0
20070113:2311,0.0,0.0,0.0,6.82,4.34,0.0
20070114:0011,0.0,0.0,0.0,7.88,4.83,0.0
20070114:0111,0.0,0.0,0.0,8.47,5.31,0.0
20070114:0211,0.0,0.0,0.0,8.69,5.59,0.0
20070114:0311,0.0,0.0,0.0,8.68,6.0,0.0
20070114:0411,0.0,0.0,0.0,8.59,6.34,0.0
20070114:0511,0.0,0.0,0.0,8.54,6.62,0.0
20070114:0611,0.0,0.0,0.0,8.54,7.24,0.0
20070114:0711,0.0,0.0,0.0,7.87,8.62,0.0
20070114:0811,994.4,130.27,6.19,7.03,7.72,0.0
20070114:0911,1057.7,135.65,11.06,6.64,8.76,0.0
20070114:1011,3316.2,380.07,14.05,6.63,9.52,0.0
20070114:1111,3829.7,436.53,14.9,6.73,9.31,0.0
20070114:1211,604.1,85.29,13.54,6.95,9.45,0.0
20070114:1311,48.6,15.14,10.09,6.89,10.07,0.0
20070114:1411,60.5,17.03,4.83,6.45,9.79,0.0
20070114:1511,0.0,0.0,0.0,6.23,8.9,0.0
20070114:1611,0.0,0.0,0.0,5.98,8.41,0.0
20070114:1711,0.0,0.0,0.0,5.73,8.34,0.0
20070114:1811,0.0,0.0,0.0,5.75,8.62,0.0
20070114:1911,0.0,0.0,0.0,6.14,9.52,0.0
20070114:2011,0.0,0.0,0.0,6.13,9.31,0.0
20070114:2111,0.0,0.0,0.0,5.73,8.76,0.0
20070114:2211,0.0,0.0,0.0,5.67,8.48,0.0
20070114:2311,0.0,0.0,0.0,5.57,7.72,0.0
20070115:0011,0.0,0.0,0.0,5.66,7.31,0.0
20070115:0111,0.0,0.0,0.0,5.53,6.69,0.0
20070115:0211,0.0,0.0,0.0,5.46,6.28,0.0
20070115:0311,0.0,0.0,0.0,5.32,5.93,0.0
20070115:0411,0.0,0.0,0.0,5.22,5.79,0.0
20070115:0511,0.0,0.0,0.0,5.02,5.59,0.0
20070115:0611,0.0,0.0,0.0,4.78,5.38,0.0
20070115:0711,0.0,0.0,0.0,4.46,5.17,0.0
20070115:0811,1573.9,193.28,6.32,4.03,4.9,0.0
20070115:0911,2020.0,239.24,11.21,4.06,4.34,0.0
20070115:1011,2115.5,249.28,14.22,4.41,4.9,0.0
20070115:1111,4711.7,536.12,15.09,4.92,5.52,0.0
20070115:1211,3121.8,359.15,13.73,5.6,6.69,0.0
20070115:1311,3827.7,440.05,10.29,5.59,6.0,0.0
20070115:1411,466.6,69.63,5.03,5.3,5.1,0.0
20070115:1511,0.0,0.0,0.0,4.89,4.9,0.0
20070115:1611,0.0,0.0,0.0,4.4,4.76,0.0
20070115:1711,0.0,0.0,0.0,4.46,4.83,0.0
20070115:1811,0.0,0.0,0.0,4.46,4.76,0.0
20070115:1911,0.0,0.0,0.0,4.45,4.55,0.0
20070115:2011,0.0,0.0,0.0,4.44,4.48,0.0
20070115:2111,0.0,0.0,0.0,4.36,4.34,0.0
20070115:2211,0.0,0.0,0.0,4.33,4.14,0.0
20070115:2311,0.0,0.0,0.0,4.39,4.14,0.0
20070116:0011,0.0,0.0,0.0,4.27,4.21,0.0
20070116:0111,0.0,0.0,0.0,4.16,4.28,0.0
20070116:0211,0.0,0.0,0.0,4.27,4.34,0.0
20070116:0311,0.0,0.0,0.0,3.83,4.14,0.0
20070116:0411,0.0,0.0,0.0,3.01,4.07,0.0
20070116:0511,0.0,0.0,0.0,2.2,4.28,0.0
20070116:0611,0.0,0.0,0.0,1.66,4.28,0.0
20070116:0711,0.0,0.0,0.0,0.92,4.21,0.0
20070116:0811,2615.2,305.79,6.45,1.09,4.07,0.0
20070116:0911,4062.0,462.27,11.36,1.96,3.59,0.0
20070116:1011,1678.2,201.17,14.39,3.0,4.14,0.0
20070116:1111,421.6,63.38,15.28,3.73,4.28,0.0
20070116:1211,436.3,65.27,13.93,4.33,4.21,0.0
20070116:1311,436.6,65.29,10.49,4.72,3.79,0.0
20070116:1411,214.9,38.48,5.24,4.98,4.62,0.0
20070116:1511,0.0,0.0,0.0,5.22,4.28,0.0
20070116:1611,0.0,0.0,0.0,5.48,4.21,0.0
20070116:1711,0.0,0.0,0.0,5.69,4.28,0.0
20070116:1811,0.0,0.0,0.0,5.95,4.28,0.0
20070116:1911,0.0,0.0,0.0,5.55,4.14,0.0
20070116:2011,0.0,0.0,0.0,5.61,4.28,0.0
20070116:2111,0.0,0.0,0.0,5.78,4.34,0.0
20070116:2211,0.0,0.0,0.0,6.03,4.48,0.0
20070116:2311,0.0,0.0,0.0,6.26,4.69,0.0
20070117:0011,0.0,0.0,0.0,6.45,4.69,0.0
20070117:0111,0.0,0.0,0.0,6.42,4.41,0.0
20070117:0211,0.0,0.0,0.0,6.31,4.21,0.0
20070117:0311,0.0,0.0,0.0,6.19,4.07,0.0
20070117:0411,0.0,0.0,0.0,6.05,4.0,0.0
20070117:0511,0.0,0.0,0.0,5.85,4.0,0.0
20070117:0611,0.0,0.0,0.0,5.68,3.93,0.0
20070117:0711,0.0,0.0,0.0,5.51,3.86,0.0
20070117:0811,720.6,98.64,6.6,5.31,4.0,0.0
20070117:0911,347.1,54.87,11.52,5.52,4.48,0.0
20070117:1011,1227.3,154.29,14.57,6.04,5.93,0.0
20070117:1111,1331.9,166.14,15.47,6.65,6.0,0.0
20070117:1211,1183.9,150.11,14.14,7.02,5.79,0.0
20070117:1311,298.3,49.19,10.7,7.06,4.55,0.0
20070117:1411,60.2,17.03,5.44,7.08,4.28,0.0
20070117:1511,0.0,0.0,0.0,7.1,4.28,0.0
20070117:1611,0.0,0.0,0.0,7.22,4.55,0.0
20070117:1711,0.0,0.0,0.0,7.41,5.03,0.0
20070117:1811,0.0,0.0,0.0,7.57,5.79,0.0
20070117:1911,0.0,0.0,0.0,7.92,6.28,0.0
20070117:2011,0.0,0.0,0.0,7.91,6.69,0.0
20070117:2111,0.0,0.0,0.0,7.86,6.97,0.0
20070117:2211,0.0,0.0,0.0,7.87,7.52,0.0
20070117:2311,0.0,0.0,0.0,8.11,7.79,0.0
20070118:0011,0.0,0.0,0.0,8.48,7.93,0.0
20070118:0111,0.0,0.0,0.0,8.52,7.38,0.0
20070118:0211,0.0,0.0,0.0,7.86,6.48,0.0
20070118:0311,0.0,0.0,0.0,7.09,5.93,0.0
20070118:0411,0.0,0.0,0.0,6.62,5.93,0.0
20070118:0511,0.0,0.0,0.0,6.32,5.52,0.0
20070118:0611,0.0,0.0,0.0,6.11,5.1,0.0
20070118:0711,0.0,0.0,0.0,5.81,4.9,0.0
20070118:0811,433.6,65.34,6.75,5.74,4.83,0.0
20070118:0911,665.5,91.92,11.69,5.67,4.69,0.0
20070118:1011,433.8,65.27,14.76,5.54,4.41,0.0
20070118:1111,378.5,58.65,15.67,5.44,4.14,0.0
20070118:1211,347.1,54.87,14.35,5.4,3.72,0.0
20070118:1311,300.4,49.19,10.91,5.68,4.34,0.0
20070118:1411,424.2,64.89,5.66,7.25,5.45,0.0
20070118:1511,0.0,0.0,0.0,8.54,6.48,0.0
20070118:1611,0.0,0.0,0.0,9.71,8.69,0.0
20070118:1711,0.0,0.0,0.0,10.24,10.34,0.0
20070118:1811,0.0,0.0,0.0,10.62,11.17,0.0
20070118:1911,0.0,0.0,0.0,9.81,10.76,0.0
20070118:2011,0.0,0.0,0.0,8.3,8.14,0.0
20070118:2111,0.0,0.0,0.0,7.16,8.41,0.0
20070118:2211,0.0,0.0,0.0,6.6,9.17,0.0
20070118:2311,0.0,0.0,0.0,5.92,11.31,0.0
20070119:0011,0.0,0.0,0.0,5.23,10.41,0.0
20070119:0111,0.0,0.0,0.0,4.59,11.1,0.0
20070119:0211,0.0,0.0,0.0,3.73,10.28,0.0
20070119:0311,0.0,0.0,0.0,3.91,10.21,0.0
20070119:0411,0.0,0.0,0.0,3.64,8.76,0.0
20070119:0511,0.0,0.0,0.0,3.62,7.52,0.0
20070119:0611,0.0,0.0,0.0,4.05,7.52,0.0
20070119:0711,0.0,0.0,0.0,4.42,7.24,0.0
20070119:0811,382.7,58.91,6.91,4.42,7.17,0.0
20070119:0911,2166.7,254.61,11.87,4.75,7.38,0.0
20070119:1011,196.6,35.95,14.95,5.01,7.86,0.0
20070119:1111,773.4,103.91,15.88,5.04,6.9,0.0
20070119:1211,348.0,54.87,14.56,5.2,7.1,0.0
20070119:1311,3979.5,453.96,11.13,4.91,7.03,0.0
20070119:1411,2047.9,247.09,5.88,4.47,6.69,0.0
20070119:1511,0.0,0.0,0.0,4.17,6.21,0.0
