time,P,G(i),H_sun,T2m,WS10m,Int
20070101:0011,0.0,0.0,0.0,6.63,4.97,0.0
20070101:0111,0.0,0.0,0.0,6.68,5.45,0.0
20070101:0211,0.0,0.0,0.0,6.21,5.66,0.0
20070101:0311,0.0,0.0,0.0,5.68,5.93,0.0
20070101:0411,0.0,0.0,0.0,5.34,6.28,0.0
20070101:0511,0.0,0.0,0.0,5.45,6.48,0.0
20070101:0611,0.0,0.0,0.0,6.33,6.21,0.0
20070101:0711,0.0,0.0,0.0,7.38,6.34,0.0
20070101:0811,331.0,53.45,5.13,7.71,6.14,0.0
20070101:0911,3620.2,419.39,9.77,7.74,6.83,0.0
20070101:1011,4984.2,570.68,12.53,7.52,7.24,0.0
20070101:1111,1474.0,181.65,13.18,7.41,7.31,0.0
20070101:1211,352.0,55.81,11.65,7.43,8.0,0.0
20070101:1311,2743.1,321.71,8.09,7.23,7.86,0.0
20070101:1411,951.1,128.53,2.77,6.95,7.31,0.0
20070101:1511,0.0,0.0,0.0,6.58,6.9,0.0
20070101:1611,0.0,0.0,0.0,6.46,6.97,0.0
20070101:1711,0.0,0.0,0.0,6.03,7.1,0.0
20070101:1811,0.0,0.0,0.0,5.59,7.1,0.0
20070101:1911,0.0,0.0,0.0,5.49,7.38,0.0
20070101:2011,0.0,0.0,0.0,5.32,7.52,0.0
20070101:2111,0.0,0.0,0.0,5.23,7.52,0.0
20070101:2211,0.0,0.0,0.0,4.99,7.79,0.0
20070101:2311,0.0,0.0,0.0,4.64,8.07,0.0
20070102:0011,0.0,0.0,0.0,4.35,7.66,0.0
20070102:0111,0.0,0.0,0.0,4.3,7.24,0.0
20070102:0211,0.0,0.0,0.0,4.38,7.17,0.0
20070102:0311,0.0,0.0,0.0,4.3,6.9,0.0
20070102:0411,0.0,0.0,0.0,4.26,6.62,0.0
20070102:0511,0.0,0.0,0.0,4.32,6.41,0.0
20070102:0611,0.0,0.0,0.0,4.26,6.14,0.0
20070102:0711,0.0,0.0,0.0,4.29,6.0,0.0
20070102:0811,67.5,17.97,5.17,4.01,5.72,0.0
20070102:0911,133.4,27.43,9.83,3.87,5.72,0.0
20070102:1011,905.3,117.66,12.61,3.73,5.52,0.0
20070102:1111,288.2,47.3,13.27,3.65,5.45,0.0
20070102:1211,358.7,55.81,11.76,3.45,5.31,0.0
20070102:1311,413.7,62.17,8.2,3.42,5.86,0.0
20070102:1411,0.0,1.89,2.89,3.53,5.31,0.0
20070102:1511,0.0,0.0,0.0,3.06,4.9,0.0
20070102:1611,0.0,0.0,0.0,2.91,5.03,0.0
20070102:1711,0.0,0.0,0.0,3.28,5.66,0.0
20070102:1811,0.0,0.0,0.0,3.42,5.52,0.0
20070102:1911,0.0,0.0,0.0,3.38,6.07,0.0
20070102:2011,0.0,0.0,0.0,3.33,6.0,0.0
20070102:2111,0.0,0.0,0.0,3.29,5.38,0.0
20070102:2211,0.0,0.0,0.0,3.17,5.24,0.0
20070102:2311,0.0,0.0,0.0,3.05,5.24,0.0
20070103:0011,0.0,0.0,0.0,3.14,5.38,0.0
20070103:0111,0.0,0.0,0.0,3.11,5.31,0.0
20070103:0211,0.0,0.0,0.0,3.44,5.38,0.0
20070103:0311,0.0,0.0,0.0,3.41,5.24,0.0
20070103:0411,0.0,0.0,0.0,3.49,5.31,0.0
20070103:0511,0.0,0.0,0.0,3.52,5.24,0.0
20070103:0611,0.0,0.0,0.0,3.4,4.9,0.0
20070103:0711,0.0,0.0,0.0,3.28,4.76,0.0
20070103:0811,343.6,54.09,5.21,3.22,4.69,0.0
20070103:0911,580.4,81.39,9.89,3.5,4.69,0.0
20070103:1011,614.8,85.6,12.69,4.0,4.76,0.0
20070103:1111,670.0,92.0,13.36,4.33,5.03,0.0
20070103:1211,948.4,122.64,11.87,4.39,5.66,0.0
20070103:1311,301.3,48.98,8.32,4.4,5.79,0.0
20070103:1411,17.3,9.46,3.02,4.22,4.9,0.0
20070103:1511,0.0,0.0,0.0,3.86,4.07,0.0
20070103:1611,0.0,0.0,0.0,3.58,4.0,0.0
20070103:1711,0.0,0.0,0.0,3.6,4.28,0.0
20070103:1811,0.0,0.0,0.0,3.88,4.55,0.0
20070103:1911,0.0,0.0,0.0,3.9,4.62,0.0
20070103:2011,0.0,0.0,0.0,3.93,4.41,0.0
20070103:2111,0.0,0.0,0.0,3.81,4.28,0.0
20070103:2211,0.0,0.0,0.0,3.76,4.48,0.0
20070103:2311,0.0,0.0,0.0,3.73,4.83,0.0
20070104:0011,0.0,0.0,0.0,3.58,5.03,0.0
20070104:0111,0.0,0.0,0.0,3.56,4.97,0.0
20070104:0211,0.0,0.0,0.0,3.69,4.97,0.0
20070104:0311,0.0,0.0,0.0,3.91,5.03,0.0
20070104:0411,0.0,0.0,0.0,4.14,4.97,0.0
20070104:0511,0.0,0.0,0.0,4.35,4.97,0.0
20070104:0611,0.0,0.0,0.0,4.49,5.1,0.0
20070104:0711,0.0,0.0,0.0,4.78,5.31,0.0
20070104:0811,496.4,72.65,5.27,4.85,5.31,0.0
20070104:0911,910.5,118.8,9.96,5.01,5.38,0.0
20070104:1011,1275.5,158.84,12.77,5.21,5.52,0.0
20070104:1111,504.9,73.45,13.47,5.27,5.45,0.0
20070104:1211,203.4,36.89,11.98,5.36,5.38,0.0
20070104:1311,203.2,36.89,8.45,5.49,5.45,0.0
20070104:1411,428.8,65.96,3.16,5.68,5.59,0.0
20070104:1511,0.0,0.0,0.0,5.78,5.72,0.0
20070104:1611,0.0,0.0,0.0,5.79,5.66,0.0
20070104:1711,0.0,0.0,0.0,5.85,5.52,0.0
20070104:1811,0.0,0.0,0.0,6.02,5.52,0.0
20070104:1911,0.0,0.0,0.0,6.27,5.66,0.0
20070104:2011,0.0,0.0,0.0,6.27,5.86,0.0
20070104:2111,0.0,0.0,0.0,6.16,6.14,0.0
20070104:2211,0.0,0.0,0.0,6.09,6.14,0.0
20070104:2311,0.0,0.0,0.0,6.04,6.21,0.0
20070105:0011,0.0,0.0,0.0,5.94,6.21,0.0
20070105:0111,0.0,0.0,0.0,5.93,6.28,0.0
20070105:0211,0.0,0.0,0.0,5.82,6.55,0.0
20070105:0311,0.0,0.0,0.0,5.74,6.28,0.0
20070105:0411,0.0,0.0,0.0,5.69,5.86,0.0
20070105:0511,0.0,0.0,0.0,5.79,5.79,0.0
20070105:0611,0.0,0.0,0.0,5.92,6.0,0.0
20070105:0711,0.0,0.0,0.0,5.92,6.48,0.0
20070105:0811,288.2,47.76,5.33,5.74,6.14,0.0
20070105:0911,423.7,63.92,10.04,5.69,6.14,0.0
20070105:1011,247.5,42.57,12.87,5.69,6.34,0.0
20070105:1111,240.0,41.62,13.58,5.69,6.48,0.0
20070105:1211,85.6,20.81,12.11,5.75,6.62,0.0
20070105:1311,167.0,32.16,8.59,5.67,6.41,0.0
20070105:1411,227.5,40.58,3.3,5.34,6.14,0.0
20070105:1511,0.0,0.0,0.0,5.04,5.66,0.0
20070105:1611,0.0,0.0,0.0,4.87,5.45,0.0
20070105:1711,0.0,0.0,0.0,4.8,5.03,0.0
20070105:1811,0.0,0.0,0.0,4.73,4.34,0.0
20070105:1911,0.0,0.0,0.0,5.09,4.07,0.0
20070105:2011,0.0,0.0,0.0,5.18,3.79,0.0
20070105:2111,0.0,0.0,0.0,5.25,3.79,0.0
20070105:2211,0.0,0.0,0.0,5.42,3.72,0.0
20070105:2311,0.0,0.0,0.0,5.53,3.93,0.0
20070106:0011,0.0,0.0,0.0,5.66,4.41,0.0
20070106:0111,0.0,0.0,0.0,5.94,4.55,0.0
20070106:0211,0.0,0.0,0.0,6.2,4.69,0.0
20070106:0311,0.0,0.0,0.0,6.31,4.97,0.0
20070106:0411,0.0,0.0,0.0,6.49,4.83,0.0
20070106:0511,0.0,0.0,0.0,6.66,5.24,0.0
20070106:0611,0.0,0.0,0.0,6.77,5.86,0.0
20070106:0711,0.0,0.0,0.0,6.62,5.03,0.0
20070106:0811,1010.8,132.16,5.39,6.08,4.28,0.0
20070106:0911,647.6,89.99,10.12,6.17,4.0,0.0
20070106:1011,2649.2,310.51,12.97,6.55,4.21,0.0
20070106:1111,1932.7,231.99,13.7,6.74,4.28,0.0
20070106:1211,833.6,111.25,12.24,6.71,3.93,0.0
20070106:1311,1620.6,198.88,8.73,6.68,3.31,0.0
20070106:1411,971.5,130.35,3.44,6.24,2.48,0.0
20070106:1511,0.0,0.0,0.0,5.89,2.14,0.0
20070106:1611,0.0,0.0,0.0,5.69,2.07,0.0
20070106:1711,0.0,0.0,0.0,5.65,2.07,0.0
20070106:1811,0.0,0.0,0.0,5.52,2.14,0.0
20070106:1911,0.0,0.0,0.0,5.35,2.34,0.0
20070106:2011,0.0,0.0,0.0,5.26,2.34,0.0
20070106:2111,0.0,0.0,0.0,4.95,2.21,0.0
20070106:2211,0.0,0.0,0.0,4.63,2.14,0.0
20070106:2311,0.0,0.0,0.0,4.61,1.93,0.0
20070107:0011,0.0,0.0,0.0,4.42,1.93,0.0
20070107:0111,0.0,0.0,0.0,4.53,1.66,0.0
20070107:0211,0.0,0.0,0.0,4.54,1.38,0.0
20070107:0311,0.0,0.0,0.0,4.6,1.1,0.0
20070107:0411,0.0,0.0,0.0,4.57,0.69,0.0
20070107:0511,0.0,0.0,0.0,4.5,0.48,0.0
20070107:0611,0.0,0.0,0.0,4.3,1.03,0.0
20070107:0711,0.0,0.0,0.0,4.04,1.45,0.0
20070107:0811,1797.5,219.89,5.47,3.84,1.72,0.0
20070107:0911,335.0,53.1,10.21,4.25,3.24,0.0
20070107:1011,4259.2,489.19,13.08,4.71,3.52,0.0
20070107:1111,956.5,124.33,13.82,5.23,3.79,0.0
20070107:1211,105.3,23.65,12.38,5.26,3.59,0.0
20070107:1311,85.8,20.81,8.88,5.21,4.0,0.0
